"All crash data available using this tool represents reportable data collected from Texas Peace Officer's Crash Reports (CR-3) received and processed by the Texas Department of Transportation (Department) as of 08/14/2024. The Department makes no warranty, representation or guaranty as to the content, accuracy, timeliness or completeness of any of the information provided as a result of your query. Any opinions and conclusions resulting from analysis performed on the crash data must be represented as your own and not those of the State of Texas or the Department. "

"Query Result Counts:"
"Your query returned a total of 3,608 Crashes containing 7,673 Units and 9,479 Persons"

"Filters Applied to current Query:"
"Crash Date Is Between  2023-04-01 00:00 and 2024-07-31 21:59"
"County Is Equal To DENTON"
"City Is Equal To DENTON"
"$1000 Damage to Any One Person's Property Is True "


"Crash ID","$1000 Damage to Any One Person's Property","Adjusted Average Daily Traffic Amount","City","Crash Date","Crash Severity","Crash Time","Date Scene Cleared","Manner of Collision","Road Class","Roadway Type","Speed Limit","Surface Condition","Time Scene Cleared","Weather Condition"
"19468595","Yes","83664","DENTON","2023-04-01","N - NOT INJURED","1559","2023-04-01","SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE","INTERSTATE","4 OR MORE LANES, DIVIDED","50","1 - DRY","1559","1 - CLEAR"
"19474485","Yes","70137","DENTON","2023-04-01","N - NOT INJURED","1544","2023-04-01","SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE","INTERSTATE","4 OR MORE LANES, DIVIDED","70","1 - DRY","1640","1 - CLEAR"
"19474684","Yes","No Data","DENTON","2023-04-01","N - NOT INJURED","1930","2023-04-01","ONE MOTOR VEHICLE - GOING STRAIGHT","CITY STREET","No Data","30","1 - DRY","2055","1 - CLEAR"
"19476604","Yes","27522","DENTON","2023-04-01","N - NOT INJURED","0948","2023-04-01","ANGLE - ONE STRAIGHT-ONE RIGHT TURN","US & STATE HIGHWAYS","4 OR MORE LANES, DIVIDED","50","1 - DRY","1026","1 - CLEAR"
"19476605","Yes","No Data","DENTON","2023-04-01","C - POSSIBLE INJURY","1246","2023-04-01","ONE MOTOR VEHICLE - GOING STRAIGHT","CITY STREET","No Data","40","1 - DRY","1305","1 - CLEAR"
"19477352","Yes","No Data","DENTON","2023-04-01","C - POSSIBLE INJURY","2300","2023-04-01","ONE MOTOR VEHICLE - GOING STRAIGHT","CITY STREET","No Data","30","1 - DRY","2351","1 - CLEAR"
"19479006","Yes","84501","DENTON","2023-04-01","B - SUSPECTED MINOR INJURY","0005","2023-04-01","SAME DIRECTION - BOTH GOING STRAIGHT-REAR END","INTERSTATE","4 OR MORE LANES, DIVIDED","70","1 - DRY","0044","1 - CLEAR"
"19483031","Yes","104418","DENTON","2023-04-01","N - NOT INJURED","1929","2023-04-01","SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE","INTERSTATE","4 OR MORE LANES, DIVIDED","50","1 - DRY","2021","1 - CLEAR"
"19487709","Yes","67764","DENTON","2023-04-01","N - NOT INJURED","1454","2023-04-01","SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE","INTERSTATE","4 OR MORE LANES, DIVIDED","70","1 - DRY","1624","1 - CLEAR"
"19477450","Yes","No Data","DENTON","2023-04-02","N - NOT INJURED","1933","2023-04-02","SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE","NON TRAFFICWAY","No Data","10","1 - DRY","2111","1 - CLEAR"
